taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Assembly Method	Release Date	Biotic Relationships	Cell Shape	Energy Source	Oxygen Requirement	Sequencing Method	Sporulation	Genome Size   * assembled	Gene Count   * assembled	CRISPR Count   * assembled	GC Count   * assembled	CDS Count   * assembled	RNA Count   * assembled	16S rRNA Count   * assembled	23S rRNA Count   * assembled	Pseudo Genes Count 	Unchar Count 	w/ Func Pred Count   * assembled	w/o function prediction  * assembled	Paralogs Count
2561511126	Bacteria	Finished	Comamonas testosteroni CNB-1	Comamonas testosteroni sv. Ba CNB-1	ANRT	2561511126	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni		3/23/2014	Free living	Rod-shaped		Aerobe	Sanger	Nonsporulating	5464824	4983	0	3359358	4895	88	3	3	2	0	4090	805	711
651053029	Bacteria	Finished	Helicobacter pylori sequencing project - Univ of Hyderabad	Helicobacter pylori 2017	University of Hyderabad	651053029	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori		12/1/2011	Free living	Spiral-shaped		Aerobe	Illumina GAIIx	Nonsporulating	1548238	1632	1	608474	1593	39	1	1	0	0	1123	470	82
649633017	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Bifidobacterium longum infantis 157F-NC	University of Tokyo	649633017	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	Phred-Phrap-Consed	7/1/2011	Free living	Rod-shaped		Anaerobe	Sanger	Nonsporulating	2408831	2070	2	1447113	1999	71	4	4	0	0	1309	690	172
2565956582	Bacteria	Finished	Mycobacterium tuberculosis BT2	Mycobacterium tuberculosis BT2	Chinese National Human Genome Center at Shanghai, The Chinese University of Hong Kong	2565956582	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis		4/28/2014							4401899	4197	1	2888555	4149	48	1	1	0	0	3285	864	755
2554235410	Bacteria	Finished	Streptococcus iniae SF1 Genome sequencing	Streptococcus iniae SF1	Chinese Academy of Sciences, Institute of Oceanology	2554235410	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus iniae		1/1/2014			Heterotroph				2149844	2182	1	789797	2125	57	4	4	14	0	1767	358	237
2519899534	Bacteria	Finished	Chlamydia psittaci GR9	Chlamydia psittaci GR9	University of Maryland	2519899534	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia psittaci	Newbler v. 2.3		Symbiotic				454 GS FLX Titanium		1147152	1083	0	448258	1042	41	1	1	0	0	808	234	22
2512564067	Bacteria	Finished	Rickettsia montanensis OSU 85-930	Rickettsia montanensis OSU 85-930	Los Alamos National Laboratory	2512564067	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia montanensis		4/5/2012						Nonsporulating	1279798	1253	0	416854	1217	36	1	1	0	0	914	303	60
2561511167	Bacteria	Finished	Propionibacterium acnes HL096PA1	Cutibacterium acnes HL096PA1	University of California, Los Angeles	2561511167	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes		3/23/2014		Rod-shaped		Anaerobe		Nonsporulating	2549775	2303	0	1533984	2249	54	3	3	79	0	1774	475	110
2558860204	Bacteria	Finished	Klebsiella pneumoniae pneumoniae Kp13	Klebsiella pneumoniae pneumoniae Kp13	Laboratorio Nacional de Computacao Cientifica	2558860204	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae		3/7/2014		Rod-shaped	Heterotroph	Facultative		Nonsporulating	5739888	5846	0	3259474	5736	110	8	8	22	0	4488	1248	752
2508501046	Bacteria	Finished	Biogeochemically important bacteria	Azospira oryzae PS	DOE Joint Genome Institute (JGI)	2508501046	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	Azospira oryzae		10/21/2011	Free living	Rod-shaped	Diazotroph	Facultative	454 GS FLX Titanium, Illumina GAIIx		3806980	3539	0	2488533	3474	65	2	2	31	0	2870	604	389
2507149015	Bacteria	Finished	Desulfovibrio Sequencing	Pseudomonas stutzeri RCH2	DOE Joint Genome Institute (JGI)	2507149015	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri		9/6/2011	Free living	Rod-shaped	Heterotroph	Aerobe	454 GS FLX, Illumina GAIIx	Nonsporulating	4600489	4412	0	2874963	4322	90	4	4	57	0	3524	798	503
